LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1100,25860.0,39025.0,HomeImp,Other,10.5,0.0,0.0,94.366666667,1.0,9.0,
1300,70053.0,68400.0,HomeImp,Other,7.0,0.0,2.0,121.83333333,0.0,14.0,
1700,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0,93.333333333,0.0,14.0,
1700,30548.0,40320.0,HomeImp,Other,9.0,0.0,0.0,101.46600191,1.0,8.0,37.113613558
1800,48649.0,57037.0,HomeImp,Other,5.0,3.0,2.0,77.1,1.0,17.0,
1800,28502.0,43034.0,HomeImp,Other,11.0,0.0,0.0,88.766029879,0.0,8.0,36.884894093
2000,,62250.0,HomeImp,Sales,16.0,0.0,0.0,115.8,0.0,13.0,
2000,20627.0,29800.0,HomeImp,Office,11.0,0.0,1.0,122.53333333,1.0,9.0,
2000,45000.0,55000.0,HomeImp,Other,3.0,0.0,0.0,86.066666667,2.0,25.0,
2300,28192.0,40150.0,HomeImp,Other,4.5,0.0,0.0,54.6,1.0,16.0,
2300,102370.0,120953.0,HomeImp,Office,2.0,0.0,0.0,90.992533467,0.0,13.0,31.588503178
2300,37626.0,46200.0,HomeImp,Other,3.0,0.0,1.0,122.26666667,1.0,14.0,
2400,28000.0,40800.0,HomeImp,Mgr,12.0,0.0,0.0,67.2,2.0,22.0,
2400,18000.0,,HomeImp,Mgr,22.0,,2.0,121.73333333,0.0,10.0,
2400,,17180.0,HomeImp,Other,,0.0,0.0,14.566666667,3.0,4.0,
2400,34863.0,47471.0,HomeImp,Mgr,12.0,0.0,0.0,70.491080032,1.0,21.0,38.263600731
2400,98449.0,117195.0,HomeImp,Office,4.0,0.0,0.0,93.811774855,0.0,13.0,29.681827045
2800,4000.0,60850.0,HomeImp,Other,16.0,4.0,0.0,112.63333333,2.0,9.0,
2900,103949.0,112505.0,HomeImp,Office,1.0,0.0,0.0,96.10232967,0.0,13.0,30.051136286
2900,104373.0,120702.0,HomeImp,Office,2.0,0.0,0.0,101.54029753,0.0,13.0,29.915859028
2900,7750.0,67996.0,HomeImp,Other,16.0,3.0,0.0,122.20466276,2.0,8.0,36.211347998
3000,104570.0,121729.0,HomeImp,Office,2.0,0.0,0.0,85.884371895,0.0,14.0,32.059783267
3000,7000.0,20300.0,HomeImp,Other,3.0,0.0,0.0,50.8,5.0,9.0,
3000,,8800.0,HomeImp,Other,2.0,0.0,1.0,77.766666667,0.0,3.0,
3000,,33000.0,HomeImp,Other,1.0,0.0,1.0,23.3,1.0,2.0,
3000,,14500.0,HomeImp,Other,3.0,0.0,0.0,9.3,14.0,2.0,
3000,,14100.0,HomeImp,Other,1.0,0.0,0.0,104.2,0.0,19.0,
3000,34542.0,45900.0,HomeImp,Mgr,8.5,0.0,2.0,62.366666667,0.0,10.0,
3200,48603.0,61000.0,HomeImp,ProfExe,28.0,0.0,4.0,122.03333333,1.0,25.0,
3200,54000.0,64850.0,HomeImp,Other,1.0,0.0,0.0,121.86666667,3.0,21.0,
3200,23159.0,,HomeImp,Mgr,20.0,,2.0,117.80574784,0.0,9.0,0.5244992154
3500,19400.0,20494.0,HomeImp,Other,5.0,0.0,0.0,95.933333333,0.0,9.0,
3600,41900.0,52490.0,HomeImp,Mgr,3.0,0.0,0.0,72.033333333,2.0,4.0,
3600,100693.0,114743.0,HomeImp,Office,6.0,0.0,0.0,88.470452135,0.0,14.0,29.393543382
3600,48507.0,61000.0,DebtCon,Office,13.0,1.0,4.0,97.4,0.0,17.0,
