LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,target
5300,47449.0,63895.0,HomeImp,Office,19.0,0.0,0.0,208.16271401,0.0,20.0,19.762113701,0
8100,28523.0,39816.0,DebtCon,Other,5.0,0.0,0.0,130.64393328,0.0,16.0,37.393526416,1
6500,60054.0,70434.0,HomeImp,Other,1.0,0.0,0.0,127.06270157,2.0,21.0,37.800352933,1
18600,50167.0,96312.0,DebtCon,ProfExe,5.0,0.0,0.0,128.33943385,1.0,21.0,36.377322201,0
26100,,120470.0,DebtCon,Mgr,7.0,0.0,0.0,161.2876716,0.0,27.0,34.130003661,0
33700,147522.0,198737.0,DebtCon,ProfExe,20.0,0.0,0.0,188.14935613,1.0,21.0,37.308536262,0
13600,66178.0,104378.0,HomeImp,ProfExe,6.0,0.0,0.0,263.96101511,0.0,11.0,36.438466265,0
24100,184697.0,238729.0,DebtCon,ProfExe,2.0,0.0,0.0,317.69255678,0.0,26.0,37.782036284,0
21700,20627.0,52040.0,DebtCon,Other,26.0,0.0,2.0,199.98543166,0.0,25.0,27.117689551,0
13100,70368.0,87407.0,DebtCon,Other,2.0,0.0,0.0,232.99471273,3.0,26.0,29.66798564,0
17800,38770.0,64357.0,DebtCon,Other,17.0,0.0,0.0,282.9357846,0.0,21.0,27.97949547,0
15900,102564.0,120724.0,DebtCon,ProfExe,0.0,0.0,0.0,125.83407016,0.0,30.0,37.993775785,0
5000,46696.0,85202.0,HomeImp,Other,2.0,1.0,2.0,148.34064549,0.0,14.0,46.489874001,1
6100,48300.0,53388.0,HomeImp,Office,9.0,,,178.48960216,,19.0,26.72002818,0
27500,132000.0,179000.0,DebtCon,ProfExe,1.0,1.0,0.0,226.23333333,2.0,19.0,,0
17400,166345.0,202989.0,DebtCon,ProfExe,10.0,0.0,0.0,276.06634632,0.0,37.0,24.356593557,0
10300,59340.0,84708.0,HomeImp,Other,13.0,0.0,0.0,222.36488939,1.0,36.0,34.925984254,0
6300,92659.0,117352.0,HomeImp,ProfExe,6.0,0.0,0.0,199.01192718,0.0,27.0,26.520049519,0
47600,,86652.0,HomeImp,Office,7.0,0.0,0.0,304.05810226,0.0,13.0,31.571294918,0
18100,81916.0,104048.0,DebtCon,Other,0.0,0.0,0.0,154.4259959,0.0,18.0,33.678025773,0
12700,79898.0,101989.0,DebtCon,ProfExe,9.0,2.0,0.0,214.99645978,1.0,29.0,29.306071113,0
15100,44959.0,68483.0,DebtCon,Mgr,27.0,1.0,0.0,279.94798859,1.0,17.0,37.180947854,0
9400,53244.0,62245.0,DebtCon,Other,23.0,0.0,0.0,276.78774402,3.0,28.0,37.821851509,0
15400,180017.0,206148.0,DebtCon,Mgr,2.0,0.0,2.0,196.03365793,1.0,49.0,36.417342576,1
18700,39821.0,60672.0,HomeImp,Other,26.0,0.0,0.0,243.86876302,0.0,14.0,23.35928056,0
14500,149000.0,,DebtCon,ProfExe,25.0,0.0,2.0,384.5,0.0,71.0,,1
28900,134509.0,211558.0,DebtCon,ProfExe,10.0,0.0,0.0,247.84445257,2.0,27.0,20.610706647,0
16300,69327.0,102426.0,HomeImp,ProfExe,8.0,0.0,0.0,246.75466611,1.0,12.0,36.409094498,0
13800,152441.0,184723.0,DebtCon,ProfExe,6.0,,0.0,217.24212905,3.0,25.0,40.827344633,0
13200,93254.0,125738.0,HomeImp,Mgr,3.0,0.0,3.0,156.54545124,0.0,25.0,42.736665568,0
